Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
35,35045.0,Kitchener Centre,40380,1992887000.0,42770,1539573000,Ontario,Kitchener Centre,102433,77887,214,52280,99.4,292,0.6,52572,67.5,Liberal
35,35046.0,Kitchener--Conestoga,38470,2387173000.0,40130,1640787000,Ontario,Kitchener--Conestoga,93827,69166,213,47699,99.5,227,0.5,47926,69.3,Conservative
35,35047.0,Kitchener South--Hespeler,39760,2268676000.0,41530,1576102000,Ontario,Kitchener South--Hespeler,97673,72953,193,47829,99.5,259,0.5,48088,65.9,Liberal
35,35048.0,Lambton--Kent--Middlesex,42410,2268788000.0,43800,1639936000,Ontario,Lambton--Kent--Middlesex,105919,81135,256,56363,99.6,224,0.4,56587,69.7,Conservative
35,35049.0,Lanark--Frontenac--Kingston,39800,2142469000.0,42360,1706605000,Ontario,Lanark--Frontenac--Kingston,98409,79461,231,57240,99.6,222,0.4,57462,72.3,Conservative
35,35050.0,Leeds--Grenville--Thousand Islands and Rideau Lakes,39420,2033885000.0,42290,1643635000,Ontario,Leeds--Grenville--Thousand Islands and Rideau Lakes,99306,79669,236,56436,99.7,189,0.3,56625,71.1,Conservative
35,35051.0,London--Fanshawe,43750,1821674000.0,47880,1509950000,Ontario,London--Fanshawe,119334,87298,233,54745,99.5,283,0.5,55028,63.0,NDP
35,35052.0,London North Centre,46240,2484620000.0,50710,2086707000,Ontario,London North Centre,118079,92950,242,64271,99.6,267,0.4,64538,69.4,Liberal
35,35053.0,London West,46220,2697563000.0,53670,2292485000,Ontario,London West,119090,93138,248,68027,99.6,286,0.4,68313,73.3,Liberal
35,35054.0,Markham--Stouffville,46180,2955569000.0,50340,2213275000,Ontario,Markham--Stouffville,109780,87952,229,59773,99.7,189,0.3,59962,68.2,Liberal
35,35055.0,Markham--Thornhill,41260,1932407000.0,43490,1485348000,Ontario,Markham--Thornhill,102221,70864,190,42857,99.4,240,0.6,43097,60.8,Liberal
35,35056.0,Markham--Unionville,46990,2754195000.0,51820,2080334000,Ontario,Markham--Unionville,104693,82965,228,49839,99.5,246,0.5,50085,60.4,Conservative
35,35057.0,Milton,39950,2673034000.0,42200,1816968000,Ontario,Milton,88065,72329,187,49308,99.6,210,0.4,49518,68.5,Conservative
35,35058.0,Mississauga Centre,48950,2208954000.0,52630,1703112000,Ontario,Mississauga Centre,118756,83787,221,51852,99.3,342,0.7,52194,62.3,Liberal
35,35059.0,Mississauga East--Cooksville,45900,2046374000.0,49920,1667138000,Ontario,Mississauga East--Cooksville,121792,82765,217,51917,99.5,287,0.5,52204,63.1,Liberal
35,35060.0,Mississauga--Erin Mills,46550,2555847000.0,50180,1904460000,Ontario,Mississauga--Erin Mills,117199,83062,209,55347,99.6,245,0.4,55592,66.9,Liberal
35,35061.0,Mississauga--Lakeshore,44460,3405503000.0,48440,2484424000,Ontario,Mississauga--Lakeshore,118893,86675,250,59273,99.5,271,0.5,59544,68.7,Liberal
35,35062.0,Mississauga--Malton,47040,2008835000.0,48600,1464259000,Ontario,Mississauga--Malton,118046,75277,184,44256,99.5,237,0.5,44493,59.1,Liberal
