,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
193,47005,Moose Jaw--Lake Centre--Lanigan,21.00%,39.00%,23.00%,17.00%,Saskatchewan,Conservative
194,59018,Nanaimo--Ladysmith,17.00%,36.00%,23.00%,23.00%,British Columba,NDP
195,35064,Nepean,12.00%,24.00%,24.00%,40.00%,Ontario,Liberal
196,13008,New Brunswick Southwest,20.00%,35.00%,27.00%,17.00%,New Brunswick/Nouveau-Brunswick,Liberal
197,59019,New Westminster--Burnaby,13.00%,31.00%,21.00%,35.00%,British Columba,NDP
198,35065,Newmarket--Aurora,15.00%,29.00%,24.00%,33.00%,Ontario,Liberal
199,35066,Niagara Centre,21.00%,36.00%,27.00%,16.00%,Ontario,Liberal
200,35067,Niagara Falls,19.00%,36.00%,26.00%,19.00%,Ontario,Conservative
201,35068,Niagara West,16.00%,32.00%,29.00%,23.00%,Ontario,Conservative
202,35069,Nickel Belt,22.00%,30.00%,34.00%,14.00%,Ontario,Liberal
203,35070,Nipissing--Timiskaming,21.00%,29.00%,32.00%,18.00%,Ontario,Liberal
204,59037,North Island--Powell River,21.00%,36.00%,25.00%,18.00%,British Columba,NDP
205,59020,North Okanagan--Shuswap,21.00%,37.00%,26.00%,16.00%,British Columba,Conservative
206,59021,North Vancouver,10.00%,27.00%,20.00%,44.00%,British Columba,Liberal
207,35071,Northumberland--Peterborough South,19.00%,34.00%,30.00%,17.00%,Ontario,Liberal
208,61001,Notre-Dame-de-GrÃ¢ce--Westmount,9.00%,18.00%,18.00%,55.00%,Northwest Territories,Liberal
209,24053,Nova Scotia,21.00%,29.00%,25.00%,25.00%,Quebec,Liberal
210,62001,Oakville North--Burlington,11.00%,23.00%,20.00%,46.00%,Nunavut,Liberal
211,35072,Ontario,18.00%,30.00%,23.00%,30.00%,Ontario,Liberal
212,35073,OrlÃ©ans,11.00%,27.00%,26.00%,36.00%,Ontario,Liberal
213,35076,Ottawa Centre,9.00%,19.00%,14.00%,58.00%,Ontario,Liberal
214,35074,Ottawa South,15.00%,27.00%,19.00%,39.00%,Ontario,Conservative
215,35075,Ottawa West--Nepean,14.00%,27.00%,21.00%,38.00%,Ontario,Liberal
216,35077,Ottawa--Vanier,16.00%,27.00%,19.00%,39.00%,Ontario,Liberal
217,35079,Outremont,10.00%,18.00%,16.00%,56.00%,Ontario,Liberal
218,35078,Oxford,24.00%,35.00%,28.00%,13.00%,Ontario,Liberal
219,24054,Papineau,23.00%,22.00%,18.00%,37.00%,Quebec,NDP
220,35080,Parkdale--High Park,11.00%,20.00%,17.00%,52.00%,Ontario,Conservative
221,24055,Parry Sound--Muskoka,21.00%,35.00%,27.00%,17.00%,Quebec,Liberal
222,35081,Peace River--Westlock,37.00%,33.00%,19.00%,11.00%,Ontario,Liberal
223,35082,Perth--Wellington,28.00%,34.00%,24.00%,14.00%,Ontario,Conservative
224,48028,Peterborough--Kawartha,18.00%,32.00%,29.00%,21.00%,Alberta,Conservative
225,35083,Pickering--Uxbridge,14.00%,31.00%,26.00%,28.00%,Ontario,Conservative
226,35084,Pierre-Boucher--Les Patriotes--VerchÃ¨res,18.00%,25.00%,26.00%,31.00%,Ontario,Liberal
227,35085,Pierrefonds--Dollard,15.00%,27.00%,23.00%,34.00%,Ontario,Liberal
228,24014,Pitt Meadows--Maple Ridge,17.00%,39.00%,26.00%,19.00%,Quebec,Bloc QuÃ©bÃ©cois
229,24056,Pontiac,23.00%,25.00%,23.00%,29.00%,Quebec,Liberal
